,time,target,metric,score,track
0,0.0,drums,SDR,-12.72145,AM Contra - Heart Peripheral
1,1.0,drums,SDR,-12.87369,AM Contra - Heart Peripheral
2,2.0,drums,SDR,-12.94925,AM Contra - Heart Peripheral
3,3.0,drums,SDR,0.43269,AM Contra - Heart Peripheral
4,4.0,drums,SDR,0.24611,AM Contra - Heart Peripheral
5,5.0,drums,SDR,0.28765,AM Contra - Heart Peripheral
6,6.0,drums,SDR,0.26517,AM Contra - Heart Peripheral
7,7.0,drums,SDR,0.17275,AM Contra - Heart Peripheral
8,8.0,drums,SDR,0.43014,AM Contra - Heart Peripheral
9,9.0,drums,SDR,0.40013,AM Contra - Heart Peripheral
10,10.0,drums,SDR,0.49052,AM Contra - Heart Peripheral
11,11.0,drums,SDR,0.48041,AM Contra - Heart Peripheral
12,12.0,drums,SDR,0.69619,AM Contra - Heart Peripheral
13,13.0,drums,SDR,0.53819,AM Contra - Heart Peripheral
14,14.0,drums,SDR,0.5203,AM Contra - Heart Peripheral
15,15.0,drums,SDR,0.63316,AM Contra - Heart Peripheral
16,16.0,drums,SDR,0.63138,AM Contra - Heart Peripheral
17,17.0,drums,SDR,0.33603,AM Contra - Heart Peripheral
18,18.0,drums,SDR,0.06038,AM Contra - Heart Peripheral
19,19.0,drums,SDR,0.57133,AM Contra - Heart Peripheral
20,20.0,drums,SDR,0.01066,AM Contra - Heart Peripheral
21,21.0,drums,SDR,0.02271,AM Contra - Heart Peripheral
22,22.0,drums,SDR,0.00856,AM Contra - Heart Peripheral
23,23.0,drums,SDR,0.01585,AM Contra - Heart Peripheral
24,24.0,drums,SDR,6.00177,AM Contra - Heart Peripheral
25,25.0,drums,SDR,2.23519,AM Contra - Heart Peripheral
26,26.0,drums,SDR,2.55243,AM Contra - Heart Peripheral
27,27.0,drums,SDR,2.28243,AM Contra - Heart Peripheral
28,28.0,drums,SDR,0.0341,AM Contra - Heart Peripheral
29,29.0,drums,SDR,0.04071,AM Contra - Heart Peripheral
